name,japanese_name,percentage_male,type1,type2,height_m,weight_kg,capture_rate,base_egg_steps,base_happiness,abilities,experience_growth,hp,attack,defense,sp_attack,sp_defense,speed,generation,is_legendary,classification
Mankey,Mankeyマンキー,50.0,fighting,,0.5,28.0,190,5120,70,"[""Vital Spirit"", ""Anger Point"", ""Defiant""]",1000000,40,80,35,35,45,70,1,0,Pig Monkey Pokémon
Primeape,Okorizaruオコリザル,50.0,fighting,,1.0,32.0,75,5120,70,"[""Vital Spirit"", ""Anger Point"", ""Defiant""]",1000000,65,105,60,60,70,95,1,0,Pig Monkey Pokémon
Growlithe,Gardieガーディ,75.4,fire,,0.7,19.0,190,5120,70,"[""Intimidate"", ""Flash Fire"", ""Justified""]",1250000,55,70,45,70,50,60,1,0,Puppy Pokémon
Arcanine,Windieウインディ,75.4,fire,,1.9,155.0,75,5120,70,"[""Intimidate"", ""Flash Fire"", ""Justified""]",1250000,90,110,80,100,80,95,1,0,Legendary Pokémon
Poliwag,Nyoromoニョロモ,50.0,water,,0.6,12.4,255,5120,70,"[""Water Absorb"", ""Damp"", ""Swift Swim""]",1059860,40,50,40,40,40,90,1,0,Tadpole Pokémon
Poliwhirl,Nyorozoニョロゾ,50.0,water,,1.0,20.0,120,5120,70,"[""Water Absorb"", ""Damp"", ""Swift Swim""]",1059860,65,65,65,50,50,90,1,0,Tadpole Pokémon
Poliwrath,Nyorobonニョロボン,50.0,water,fighting,1.3,54.0,45,5120,70,"[""Water Absorb"", ""Damp"", ""Swift Swim""]",1059860,90,95,95,70,90,70,1,0,Tadpole Pokémon
Abra,Caseyケーシィ,75.4,psychic,,0.9,19.5,200,5120,70,"[""Synchronize"", ""Inner Focus"", ""Magic Guard""]",1059860,25,20,15,105,55,90,1,0,Psi Pokémon
Kadabra,Yungererユンゲラー,75.4,psychic,,1.3,56.5,100,5120,70,"[""Synchronize"", ""Inner Focus"", ""Magic Guard""]",1059860,40,35,30,120,70,105,1,0,Psi Pokémon
Alakazam,Foodinフーディン,75.4,psychic,,1.5,48.0,50,5120,70,"[""Synchronize"", ""Inner Focus"", ""Magic Guard""]",1059860,55,50,65,175,105,150,1,0,Psi Pokémon
Machop,Wanrikyワンリキー,75.4,fighting,,0.8,19.5,180,5120,70,"[""Guts"", ""No Guard"", ""Steadfast""]",1059860,70,80,50,35,35,35,1,0,Superpower Pokémon
Machoke,Gorikyゴーリキー,75.4,fighting,,1.5,70.5,90,5120,70,"[""Guts"", ""No Guard"", ""Steadfast""]",1059860,80,100,70,50,60,45,1,0,Superpower Pokémon
Machamp,Kairikyカイリキー,75.4,fighting,,1.6,130.0,45,5120,70,"[""Guts"", ""No Guard"", ""Steadfast""]",1059860,90,130,80,65,85,55,1,0,Superpower Pokémon
Bellsprout,Madatsubomiマダツボミ,50.0,grass,poison,0.7,4.0,255,5120,70,"[""Chlorophyll"", ""Gluttony""]",1059860,50,75,35,70,30,40,1,0,Flower Pokémon
Weepinbell,Utsudonウツドン,50.0,grass,poison,1.0,6.4,120,5120,70,"[""Chlorophyll"", ""Gluttony""]",1059860,65,90,50,85,45,55,1,0,Flycatcher Pokémon
Victreebel,Utsubotウツボット,50.0,grass,poison,1.7,15.5,45,5120,70,"[""Chlorophyll"", ""Gluttony""]",1059860,80,105,65,100,70,70,1,0,Flycatcher Pokémon
Tentacool,Menokurageメノクラゲ,50.0,water,poison,0.9,45.5,190,5120,70,"[""Clear Body"", ""Liquid Ooze"", ""Rain Dish""]",1250000,40,40,35,50,100,70,1,0,Jellyfish Pokémon
Tentacruel,Dokukurageドククラゲ,50.0,water,poison,1.6,55.0,60,5120,70,"[""Clear Body"", ""Liquid Ooze"", ""Rain Dish""]",1250000,80,70,65,80,120,100,1,0,Jellyfish Pokémon
Geodude,Isitsubuteイシツブテ,50.0,rock,ground,,,255,3840,70,"[""Rock Head"", ""Sturdy"", ""Sand Veil"", ""Magnet Pull"", ""Sturdy"", ""Galvanize""]",1059860,40,80,100,30,30,20,1,0,Rock Pokémon
Graveler,Goloneゴローン,50.0,rock,ground,,,120,3840,70,"[""Rock Head"", ""Sturdy"", ""Sand Veil"", ""Magnet Pull"", ""Sturdy"", ""Galvanize""]",1059860,55,95,115,45,45,35,1,0,Rock Pokémon
Golem,Golonyaゴローニャ,50.0,rock,ground,,,45,3840,70,"[""Rock Head"", ""Sturdy"", ""Sand Veil"", ""Magnet Pull"", ""Sturdy"", ""Galvanize""]",1059860,80,120,130,55,65,45,1,0,Megaton Pokémon
Ponyta,Ponytaポニータ,50.0,fire,,1.0,30.0,190,5120,70,"[""Run Away"", ""Flash Fire"", ""Flame Body""]",1000000,50,85,55,65,65,90,1,0,Fire Horse Pokémon
Rapidash,Gallopギャロップ,50.0,fire,,1.7,95.0,60,5120,70,"[""Run Away"", ""Flash Fire"", ""Flame Body""]",1000000,65,100,70,80,80,105,1,0,Fire Horse Pokémon
Slowpoke,Yadonヤドン,50.0,water,psychic,1.2,36.0,190,5120,70,"[""Oblivious"", ""Own Tempo"", ""Regenerator""]",1000000,90,65,65,40,40,15,1,0,Dopey Pokémon
Slowbro,Yadoranヤドラン,50.0,water,psychic,1.6,78.5,75,5120,70,"[""Oblivious"", ""Own Tempo"", ""Regenerator""]",1000000,95,75,180,130,80,30,1,0,Hermit Crab Pokémon
Magnemite,Coilコイル,,electric,steel,0.3,6.0,190,5120,70,"[""Magnet Pull"", ""Sturdy"", ""Analytic""]",1000000,25,35,70,95,55,45,1,0,Magnet Pokémon
Magneton,Rarecoilレアコイル,,electric,steel,1.0,60.0,60,5120,70,"[""Magnet Pull"", ""Sturdy"", ""Analytic""]",1000000,50,60,95,120,70,70,1,0,Magnet Pokémon
Farfetch'd,Kamonegiカモネギ,50.0,normal,flying,0.8,15.0,45,5120,70,"[""Keen Eye"", ""Inner Focus"", ""Defiant""]",1000000,52,90,55,58,62,60,1,0,Wild Duck Pokémon
Doduo,Dodoドードー,50.0,normal,flying,1.4,39.2,190,5120,70,"[""Run Away"", ""Early Bird"", ""Tangled Feet""]",1000000,35,85,45,35,35,75,1,0,Twin Bird Pokémon
Dodrio,Dodorioドードリオ,50.0,normal,flying,1.8,85.2,45,5120,70,"[""Run Away"", ""Early Bird"", ""Tangled Feet""]",1000000,60,110,70,60,60,110,1,0,Triple Bird Pokémon
Seel,Pawouパウワウ,50.0,water,,1.1,90.0,190,5120,70,"[""Thick Fat"", ""Hydration"", ""Ice Body""]",1000000,65,45,55,45,70,45,1,0,Sea Lion Pokémon
Dewgong,Jugonジュゴン,50.0,water,ice,1.7,120.0,75,5120,70,"[""Thick Fat"", ""Hydration"", ""Ice Body""]",1000000,90,70,80,70,95,70,1,0,Sea Lion Pokémon
Grimer,Betbeterベトベター,50.0,poison,poison,,,190,5120,70,"[""Stench"", ""Sticky Hold"", ""Poison Touch"", ""Poison Touch"", ""Gluttony"", ""Power of Alchemy""]",1000000,80,80,50,40,50,25,1,0,Sludge Pokémon
Muk,Betbetonベトベトン,50.0,poison,poison,,,75,5120,70,"[""Stench"", ""Sticky Hold"", ""Poison Touch"", ""Poison Touch"", ""Gluttony"", ""Power of Alchemy""]",1000000,105,105,75,65,100,50,1,0,Sludge Pokémon
Shellder,Shellderシェルダー,50.0,water,,0.3,4.0,190,5120,70,"[""Shell Armor"", ""Skill Link"", ""Overcoat""]",1250000,30,65,100,45,25,40,1,0,Bivalve Pokémon
Cloyster,Parshenパルシェン,50.0,water,ice,1.5,132.5,60,5120,70,"[""Shell Armor"", ""Skill Link"", ""Overcoat""]",1250000,50,95,180,85,45,70,1,0,Bivalve Pokémon
Gastly,Ghosゴース,50.0,ghost,poison,1.3,0.1,190,5120,70,"[""Levitate""]",1059860,30,35,30,100,35,80,1,0,Gas Pokémon
Haunter,Ghostゴースト,50.0,ghost,poison,1.6,0.1,90,5120,70,"[""Levitate""]",1059860,45,50,45,115,55,95,1,0,Gas Pokémon
Gengar,Gangarゲンガー,50.0,ghost,poison,1.5,40.5,45,5120,70,"[""Cursed Body""]",1059860,60,65,80,170,95,130,1,0,Shadow Pokémon
Onix,Iwarkイワーク,50.0,rock,ground,8.8,210.0,45,6400,70,"[""Rock Head"", ""Sturdy"", ""Weak Armor""]",1000000,35,45,160,30,45,70,1,0,Rock Snake Pokémon
Drowzee,Sleepeスリープ,50.0,psychic,,1.0,32.4,190,5120,70,"[""Insomnia"", ""Forewarn"", ""Inner Focus""]",1000000,60,48,45,43,90,42,1,0,Hypnosis Pokémon
Hypno,Sleeperスリーパー,50.0,psychic,,1.6,75.6,75,5120,70,"[""Insomnia"", ""Forewarn"", ""Inner Focus""]",1000000,85,73,70,73,115,67,1,0,Hypnosis Pokémon
Krabby,Crabクラブ,50.0,water,,0.4,6.5,225,5120,70,"[""Hyper Cutter"", ""Shell Armor"", ""Sheer Force""]",1000000,30,105,90,25,25,50,1,0,River Crab Pokémon
Kingler,Kinglerキングラー,50.0,water,,1.3,60.0,60,5120,70,"[""Hyper Cutter"", ""Shell Armor"", ""Sheer Force""]",1000000,55,130,115,50,50,75,1,0,Pincer Pokémon
Voltorb,Biriridamaビリリダマ,,electric,,0.5,10.4,190,5120,70,"[""Soundproof"", ""Static"", ""Aftermath""]",1000000,40,30,50,55,55,100,1,0,Ball Pokémon
Electrode,Marumineマルマイン,,electric,,1.2,66.6,60,5120,70,"[""Soundproof"", ""Static"", ""Aftermath""]",1000000,60,50,70,80,80,150,1,0,Ball Pokémon
Exeggcute,Tamatamaタマタマ,50.0,grass,psychic,0.4,2.5,90,5120,70,"[""Chlorophyll"", ""Harvest""]",1250000,60,40,80,60,45,40,1,0,Egg Pokémon
Exeggutor,Nassyナッシー,50.0,grass,psychic,,,45,5120,70,"[""Chlorophyll"", ""Harvest"", ""Frisk"", ""Harvest""]",1250000,95,105,85,125,75,45,1,0,Coconut Pokémon
Cubone,Karakaraカラカラ,50.0,ground,,0.4,6.5,190,5120,70,"[""Rock Head"", ""Lightningrod"", ""Battle Armor""]",1000000,50,50,95,40,50,35,1,0,Lonely Pokémon
Marowak,Garagaraガラガラ,50.0,ground,fire,,,75,5120,70,"[""Rock Head"", ""Lightningrod"", ""Battle Armor"", ""Cursed Body"", ""Lightningrod"", ""Rock Head""]",1000000,60,80,110,50,80,45,1,0,Bone Keeper Pokémon
Hitmonlee,Sawamularサワムラー,100.0,fighting,,1.5,49.8,45,6400,70,"[""Limber"", ""Reckless"", ""Unburden""]",1000000,50,120,53,35,110,87,1,0,Kicking Pokémon
Hitmonchan,Ebiwalarエビワラー,100.0,fighting,,1.4,50.2,45,6400,70,"[""Keen Eye"", ""Iron Fist"", ""Inner Focus""]",1000000,50,105,79,35,110,76,1,0,Punching Pokémon
Lickitung,Beroringaベロリンガ,50.0,normal,,1.2,65.5,45,5120,70,"[""Own Tempo"", ""Oblivious"", ""Cloud Nine""]",1000000,90,55,75,60,75,30,1,0,Licking Pokémon
Koffing,Dogarsドガース,50.0,poison,,0.6,1.0,190,5120,70,"[""Levitate""]",1000000,40,65,95,60,45,35,1,0,Poison Gas Pokémon
Weezing,Matadogasマタドガス,50.0,poison,,1.2,9.5,60,5120,70,"[""Levitate""]",1000000,65,90,120,85,70,60,1,0,Poison Gas Pokémon
Rhyhorn,Sihornサイホーン,50.0,ground,rock,1.0,115.0,120,5120,70,"[""Lightningrod"", ""Rock Head"", ""Reckless""]",1250000,80,85,95,30,30,25,1,0,Spikes Pokémon
Rhydon,Sidonサイドン,50.0,ground,rock,1.9,120.0,60,5120,70,"[""Lightningrod"", ""Rock Head"", ""Reckless""]",1250000,105,130,120,45,45,40,1,0,Drill Pokémon
Chansey,Luckyラッキー,0.0,normal,,1.1,34.6,30,10240,140,"[""Natural Cure"", ""Serene Grace"", ""Healer""]",800000,250,5,5,35,105,50,1,0,Egg Pokémon
Tangela,Monjaraモンジャラ,50.0,grass,,1.0,35.0,45,5120,70,"[""Chlorophyll"", ""Leaf Guard"", ""Regenerator""]",1000000,65,55,115,100,40,60,1,0,Vine Pokémon
Kangaskhan,Garuraガルーラ,0.0,normal,,2.2,80.0,45,5120,70,"[""Early Bird"", ""Scrappy"", ""Inner Focus""]",1000000,105,125,100,60,100,100,1,0,Parent Pokémon
Horsea,Tattuタッツー,50.0,water,,0.4,8.0,225,5120,70,"[""Swift Swim"", ""Sniper"", ""Damp""]",1000000,30,40,70,70,25,60,1,0,Dragon Pokémon
Seadra,Seadraシードラ,50.0,water,,1.2,25.0,75,5120,70,"[""Poison Point"", ""Sniper"", ""Damp""]",1000000,55,65,95,95,45,85,1,0,Dragon Pokémon
Goldeen,Tosakintoトサキント,50.0,water,,0.6,15.0,225,5120,70,"[""Swift Swim"", ""Water Veil"", ""Lightningrod""]",1000000,45,67,60,35,50,63,1,0,Goldfish Pokémon
Seaking,Azumaoアズマオウ,50.0,water,,1.3,39.0,60,5120,70,"[""Swift Swim"", ""Water Veil"", ""Lightningrod""]",1000000,80,92,65,65,80,68,1,0,Goldfish Pokémon
Staryu,Hitodemanヒトデマン,,water,,0.8,34.5,225,5120,70,"[""Illuminate"", ""Natural Cure"", ""Analytic""]",1250000,30,45,55,70,55,85,1,0,Starshape Pokémon
Starmie,Starmieスターミー,,water,psychic,1.1,80.0,60,5120,70,"[""Illuminate"", ""Natural Cure"", ""Analytic""]",1250000,60,75,85,100,85,115,1,0,Mysterious Pokémon
Mr. Mime,Barrierdバリヤード,50.0,psychic,fairy,1.3,54.5,45,6400,70,"[""Soundproof"", ""Filter"", ""Technician""]",1000000,40,45,65,100,120,90,1,0,Barrier Pokémon
Scyther,Strikeストライク,50.0,bug,flying,1.5,56.0,45,6400,70,"[""Swarm"", ""Technician"", ""Steadfast""]",1000000,70,110,80,55,80,105,1,0,Mantis Pokémon
Jynx,Rougelaルージュラ,0.0,ice,psychic,1.4,40.6,45,6400,70,"[""Oblivious"", ""Forewarn"", ""Dry Skin""]",1000000,65,50,35,115,95,95,1,0,Humanshape Pokémon
Electabuzz,Elebooエレブー,75.4,electric,,1.1,30.0,45,6400,70,"[""Static"", ""Vital Spirit""]",1000000,65,83,57,95,85,105,1,0,Electric Pokémon
Magmar,Booberブーバー,75.4,fire,,1.3,44.5,45,6400,70,"[""Flame Body"", ""Vital Spirit""]",1000000,65,95,57,100,85,93,1,0,Spitfire Pokémon
Pinsir,Kailiosカイロス,50.0,bug,,1.5,55.0,45,6400,70,"[""Hyper Cutter"", ""Mold Breaker"", ""Moxie""]",1250000,65,155,120,65,90,105,1,0,Stagbeetle Pokémon
Tauros,Kentaurosケンタロス,100.0,normal,,1.4,88.4,45,5120,70,"[""Intimidate"", ""Anger Point"", ""Sheer Force""]",1250000,75,100,95,40,70,110,1,0,Wild Bull Pokémon
Magikarp,Koikingコイキング,50.0,water,,0.9,10.0,255,1280,70,"[""Swift Swim"", ""Rattled""]",1250000,20,10,55,15,20,80,1,0,Fish Pokémon
Gyarados,Gyaradosギャラドス,50.0,water,flying,6.5,235.0,45,1280,70,"[""Intimidate"", ""Moxie""]",1250000,95,155,109,70,130,81,1,0,Atrocious Pokémon
Lapras,Laplaceラプラス,50.0,water,ice,2.5,220.0,45,10240,70,"[""Water Absorb"", ""Shell Armor"", ""Hydration""]",1250000,130,85,80,85,95,60,1,0,Transport Pokémon
Ditto,Metamonメタモン,,normal,,0.3,4.0,35,5120,70,"[""Limber"", ""Imposter""]",1000000,48,48,48,48,48,48,1,0,Transform Pokémon
Eevee,Eievuiイーブイ,88.1,normal,,0.3,6.5,45,8960,70,"[""Run Away"", ""Adaptability"", ""Anticipation""]",1000000,55,55,50,45,65,55,1,0,Evolution Pokémon
Vaporeon,Showersシャワーズ,88.1,water,,1.0,29.0,45,8960,70,"[""Water Absorb"", ""Hydration""]",1000000,130,65,60,110,95,65,1,0,Bubble Jet Pokémon
Jolteon,Thundersサンダース,88.1,electric,,0.8,24.5,45,8960,70,"[""Volt Absorb"", ""Quick Feet""]",1000000,65,65,60,110,95,130,1,0,Lightning Pokémon
Flareon,Boosterブースター,88.1,fire,,0.9,25.0,45,8960,70,"[""Flash Fire"", ""Guts""]",1000000,65,130,60,95,110,65,1,0,Flame Pokémon
Porygon,Porygonポリゴン,,normal,,0.8,36.5,45,5120,70,"[""Trace"", ""Download"", ""Analytic""]",1000000,65,60,70,85,75,40,1,0,Virtual Pokémon
Omanyte,Omniteオムナイト,88.1,rock,water,0.4,7.5,45,7680,70,"[""Swift Swim"", ""Shell Armor"", ""Weak Armor""]",1000000,35,40,100,90,55,35,1,0,Spiral Pokémon
Omastar,Omstarオムスター,88.1,rock,water,1.0,35.0,45,7680,70,"[""Swift Swim"", ""Shell Armor"", ""Weak Armor""]",1000000,70,60,125,115,70,55,1,0,Spiral Pokémon
