MAL_ID,Name,Avg Score,Genre Count,English name,Japanese name,Type,Episodes,Aired,Premiered,Producers,Licensors,Studios,Source,Duration,Rating,Ranked,Popularity,Members,Favorites,Watching,Completed,On-Hold,Dropped,Plan to Watch,Score-1,Score-2,Score-3,Score-4,Score-5,Score-6,Score-7,Score-8,Score-9,Score-10
20,Naruto,7,6,Naruto,ナルト,TV,220,"Oct 3, 2002 to Feb 8, 2007",Fall 2002,"TV Tokyo, Aniplex, Shueisha",VIZ Media,Studio Pierrot,Manga,23 min. per ep.,PG-13 - Teens 13 or older,660,8,1830540,65586,137167,1462223,61734,99806,69610,5310,3582,6098,15477,46886,108155,286175,345563,234481,216866
21,One Piece,8,7,One Piece,ONE PIECE,TV,Unknown,"Oct 20, 1999 to ?",Fall 1999,"Fuji TV, TAP, Shueisha","Funimation, 4Kids Entertainment",Toei Animation,Manga,24 min.,PG-13 - Teens 13 or older,95,31,1352724,126645,887333,33,187919,136245,141194,6340,2616,3675,8201,19019,35342,85424,141755,166186,292445
22,Tennis no Ouji-sama,7,5,The Prince of Tennis,テニスの王子様,TV,178,"Oct 10, 2001 to Mar 23, 2005",Fall 2001,"Production I.G, Nihon Ad Systems",VIZ Media,Trans Arts,Manga,22 min. per ep.,PG-13 - Teens 13 or older,675,1039,141832,3124,11235,76881,12905,12516,28295,225,210,443,1071,3086,6624,16284,19791,12719,9576
23,Ring ni Kakero 1,6,3,Unknown,リングにかけろ１,TV,12,"Oct 6, 2004 to Dec 15, 2004",Fall 2004,Unknown,Unknown,Toei Animation,Manga,25 min. per ep.,PG - Children,6493,7333,3648,16,170,1333,145,296,1704,28,32,40,88,143,236,260,152,61,69
24,School Rumble,7,4,School Rumble,スクールランブル,TV,26,"Oct 5, 2004 to Mar 29, 2005",Fall 2004,"TV Tokyo, Sotsu, Marvelous, Starchild Records, Media Factory, DAX Production, Studio Jack",Funimation,Studio Comet,Manga,23 min. per ep.,PG-13 - Teens 13 or older,625,514,275464,5137,12277,157789,12856,13491,79051,405,441,780,1897,5396,11034,27327,38112,27623,17907
25,Sunabouzu,7,6,Desert Punk,砂ぼうず,TV,24,"Oct 6, 2004 to Mar 30, 2005",Fall 2004,"GDH, Pony Canyon, CBC",Funimation,Gonzo,Manga,24 min. per ep.,R - 17+ (violence & profanity),1844,1284,111734,790,6273,53819,6255,7951,37436,297,350,643,1521,3079,6033,12702,12349,6664,3589
26,Texhnolyze,7,4,Texhnolyze,TEXHNOLYZE,TV,22,"Apr 17, 2003 to Sep 25, 2003",Spring 2003,"Group TAC, Rondo Robe, Fuji TV, Pioneer LDC","Funimation, Geneon Entertainment USA",Madhouse,Original,23 min. per ep.,R+ - Mild Nudity,896,823,182599,3671,11335,47532,9815,8112,105805,664,411,684,1456,2462,4429,8636,10851,8309,6856
27,Trinity Blood,7,3,Trinity Blood,トリニティ・ブラッド,TV,24,"Apr 29, 2005 to Oct 28, 2005",Spring 2005,Unknown,Funimation,Gonzo,Light novel,24 min. per ep.,R - 17+ (violence & profanity),2240,936,158343,1479,7794,87958,8940,9349,44302,298,456,873,2250,5392,10273,20152,17761,9759,6091
28,Yakitate!! Japan,7,2,Yakitate!! Japan,焼きたて!! ジャぱん,TV,69,"Oct 12, 2004 to Mar 14, 2006",Fall 2004,"TV Tokyo, Aniplex, d-rights, Tohokushinsha Film Corporation, Atelier Musa",Nozomi Entertainment,Sunrise,Manga,24 min. per ep.,PG-13 - Teens 13 or older,609,1666,80183,887,5007,39992,5764,4633,24787,58,56,118,345,1248,3038,7965,11074,7425,4347
29,Zipang,7,6,Unknown,ジパング,TV,26,"Oct 8, 2004 to Apr 1, 2005",Fall 2004,"Marvelous, TBS",Geneon Entertainment USA,Studio Deen,Manga,24 min. per ep.,PG-13 - Teens 13 or older,1565,3985,16652,152,857,6807,721,599,7668,28,13,38,114,279,662,1696,1801,874,430
30,Neon Genesis Evangelion,8,6,Neon Genesis Evangelion,新世紀エヴァンゲリオン,TV,26,"Oct 4, 1995 to Mar 27, 1996",Fall 1995,"TV Tokyo, Kadokawa Shoten, Nihon Ad Systems, Audio Tanaka","ADV Films, Netflix","Gainax, Tatsunoko Production",Original,24 min. per ep.,PG-13 - Teens 13 or older,208,54,1160651,71308,66549,815938,35566,20358,222240,3714,3263,4408,9686,17571,38385,93532,157596,168056,186797
31,Neon Genesis Evangelion: Death & Rebirth,7,4,Neon Genesis Evangelion:Death & Rebirth,新世紀エヴァンゲリオン劇場版 シト新生,Movie,1,"Mar 15, 1997",Unknown,"Movic, Sega, TV Tokyo Music, Audio Tanaka",Manga Entertainment,"Gainax, Production I.G",Original,1 hr. 44 min.,R - 17+ (violence & profanity),1742,833,180681,588,1941,146202,1069,961,30508,737,654,1042,2636,6313,12694,25396,23683,15245,13516
32,Neon Genesis Evangelion: The End of Evangelion,8,5,Neon Genesis Evangelion:The End of Evangelion,新世紀エヴァンゲリオン劇場版 THE END OF EVANGELION,Movie,1,"Jul 19, 1997",Unknown,"TV Tokyo, Toei Animation, Kadokawa Shoten, Movic, Sega, TV Tokyo Music, Audio Tanaka",Manga Entertainment,"Gainax, Production I.G",Original,1 hr. 27 min.,R+ - Mild Nudity,102,195,572080,17811,8055,482918,2462,1499,77146,2264,1941,2279,4493,7057,16444,41261,77593,95821,127081
33,Kenpuu Denki Berserk,8,10,Berserk,剣風伝奇ベルセルク,TV,25,"Oct 8, 1997 to Apr 1, 1998",Fall 1997,"VAP, Hakusensha, Nippon Television Network","Media Blasters, NYAV Post",OLM,Manga,25 min. per ep.,R+ - Mild Nudity,108,301,432190,18567,19540,276588,12737,9406,113919,842,456,671,1748,3899,9477,29055,60815,65906,58627
43,Koukaku Kidoutai,8,6,Ghost in the Shell,GHOST IN THE SHELL（攻殻機動隊）,Movie,1,"Nov 18, 1995",Unknown,"Bandai Visual, Kodansha",Manga Entertainment,Production I.G,Manga,1 hr. 22 min.,R+ - Mild Nudity,236,265,468279,10362,8152,325682,3404,1927,129114,486,292,675,1842,5107,13704,39446,70881,65298,56237
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8,7,Samurai X:Trust and Betrayal,るろうに剣心―明治剣客浪漫譚―追憶編,OVA,4,"Feb 20, 1999 to Sep 22, 1999",Unknown,Aniplex,"ADV Films, Aniplex of America",Studio Deen,Manga,30 min. per ep.,R - 17+ (violence & profanity),37,637,228484,6111,6359,150183,3124,1836,66982,490,106,163,448,1393,3575,11782,25800,33317,39845
45,Rurouni Kenshin: Meiji Kenkaku Romantan,8,7,Rurouni Kenshin,るろうに剣心 -明治剣客浪漫譚-,TV,94,"Jan 10, 1996 to Sep 8, 1998",Winter 1996,"Aniplex, SME Visual Works, Fuji TV",Media Blasters,"Gallop, Studio Deen",Manga,25 min. per ep.,PG-13 - Teens 13 or older,220,345,386195,11236,29540,216154,30655,18588,91258,314,176,372,1167,3867,10220,33295,57604,50380,38050
46,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,7,4,Samurai X:The Motion Picture,るろうに剣心 -明治剣客浪漫譚- 維新志士への鎮魂歌,Movie,1,"Dec 20, 1997",Unknown,"Fuji TV, Sony Music Entertainment","ADV Films, Aniplex of America",Gallop,Manga,1 hr. 31 min.,R - 17+ (violence & profanity),1397,2411,44334,107,547,34481,438,228,8640,59,71,129,426,1310,2832,6557,6232,3683,2958
47,Akira,8,7,AKIRA,AKIRA（アキラ）,Movie,1,"Jul 16, 1988",Unknown,"Mainichi Broadcasting System, Kodansha, Toho","Funimation, Bandai Entertainment, Geneon Entertainment USA",Tokyo Movie Shinsha,Manga,2 hr. 4 min.,R+ - Mild Nudity,333,197,566538,9555,8258,434086,3491,2174,118529,1067,992,1737,4322,9462,22369,54906,91288,82148,77192
48,.hack//Sign,6,6,.hack//Sign,.hack//SIGN,TV,26,"Apr 4, 2002 to Sep 26, 2002",Spring 2002,"Bandai Visual, Yomiko Advertising, Bandai, CyberConnect2","Funimation, Bandai Entertainment",Bee Train,Original,24 min. per ep.,PG-13 - Teens 13 or older,3687,940,158227,1359,6733,91528,8315,11881,39770,619,825,1502,3688,7610,12617,20391,15537,8051,5266
49,Aa! Megami-sama!,7,5,Oh! My Goddess,ああっ女神さまっ,OVA,5,"Feb 21, 1993 to May 17, 1994",Unknown,"Bandai Visual, KSS, Pony Canyon, TBS, Kodansha, Half H.P Studio, Nichion",AnimEigo,AIC,Manga,30 min. per ep.,PG-13 - Teens 13 or older,2226,2360,46428,267,993,34581,860,894,9100,46,59,172,433,1795,3737,7079,5826,3077,2021
50,Aa! Megami-sama! (TV),7,5,Ah! My Goddess,ああっ女神さまっ,TV,24,"Jan 7, 2005 to Jul 8, 2005",Winter 2005,"Bandai Visual, TBS, Imagine","Media Blasters, NYAV Post",AIC,Manga,24 min. per ep.,PG-13 - Teens 13 or older,2116,1083,135747,1124,5841,85884,6517,7971,29534,214,291,591,1678,5221,10160,20033,17037,9097,5425
51,Tenshi Kinryouku,6,5,Angel Sanctuary,天使禁猟区,OVA,3,"May 25, 2000 to Aug 25, 2000",Unknown,"Bandai Visual, AIC, Lantis, Audio Tanaka",Media Blasters,Hal Film Maker,Manga,30 min. per ep.,R+ - Mild Nudity,6823,2419,43960,215,812,32981,749,1311,8107,415,689,992,2115,3621,5008,5450,3490,2043,1464
52,Kidou Tenshi Angelic Layer,7,5,Battle Doll Angelic Layer,機動天使エンジェリックレイヤー,TV,26,"Apr 1, 2001 to Sep 23, 2001",Spring 2001,TV Tokyo Music,"ADV Films, Sentai Filmworks",Bones,Manga,24 min. per ep.,PG-13 - Teens 13 or older,2529,2232,51022,290,1653,32978,2615,2852,10924,87,89,211,579,2092,4261,7975,6253,3245,1644
53,Ai Yori Aoshi,7,5,Ai Yori Aoshi,藍より青し,TV,24,"Apr 11, 2002 to Sep 26, 2002",Spring 2002,"Movic, Fuji TV, Pioneer LDC, Cosmic Ray","Funimation, Geneon Entertainment USA",J.C.Staff,Manga,23 min. per ep.,PG-13 - Teens 13 or older,3012,1465,94793,458,4111,60075,4160,5814,20633,206,287,609,1627,4414,8066,13835,10587,5402,3124
54,Appleseed (Movie),7,7,Unknown,アップルシード,Movie,1,"Apr 17, 2004",Unknown,"Mainichi Broadcasting System, Toho, TYO Animations, TYO","Sentai Filmworks, Geneon Entertainment USA",Digital Frontier,Manga,1 hr. 45 min.,R - 17+ (violence & profanity),3206,1901,65139,173,787,52100,403,489,11360,113,213,451,1249,3050,6182,11644,8991,4369,2107
55,Arc the Lad,6,5,Unknown,アークザラッド,TV,26,"Apr 5, 1999 to Sep 11, 1999",Spring 1999,"Sony Pictures Entertainment, Aniplex",ADV Films,Bee Train,Game,22 min. per ep.,R - 17+ (violence & profanity),5738,4259,14187,17,581,7032,718,910,4946,37,50,108,297,814,1252,1605,762,271,174
56,Avenger,5,4,Unknown,アヴェンジャー,TV,13,"Oct 2, 2003 to Dec 25, 2003",Fall 2003,Production I.G,Bandai Entertainment,"Bee Train, Xebec",Original,24 min. per ep.,R - 17+ (violence & profanity),8501,4073,15779,21,617,7906,712,1255,5289,133,222,343,698,1135,1371,1335,699,259,166
57,Beck,8,5,Beck:Mongolian Chop Squad,ベック,TV,26,"Oct 7, 2004 to Mar 31, 2005",Fall 2004,"Marvelous, Starchild Records, Asatsu DK, Kodansha",Funimation,Madhouse,Manga,25 min. per ep.,R - 17+ (violence & profanity),221,570,255668,7038,10580,133432,10190,8488,92978,235,225,446,1173,3000,6598,17566,30926,31103,23840
58,Blue Gender,7,8,Blue Gender,BLUE GENDER,TV,26,"Oct 8, 1999 to Mar 31, 2000",Fall 1999,"Youmex, Toshiba EMI",Funimation,AIC,Original,23 min. per ep.,R+ - Mild Nudity,3455,1886,65360,389,2738,31583,2534,3195,25310,168,229,381,1012,2327,4354,7810,5800,2733,1451
59,Chobits,7,6,Chobits,ちょびっツ,TV,26,"Apr 3, 2002 to Sep 25, 2002",Spring 2002,"TBS, Pioneer LDC","Funimation, Geneon Entertainment USA",Madhouse,Manga,24 min. per ep.,PG-13 - Teens 13 or older,1804,332,402646,3859,15294,272425,18082,22409,74436,816,1159,2124,5772,14855,29800,58689,55560,32733,20499
60,Chrno Crusade,7,6,Chrono Crusade,クロノクルセイド,TV,24,"Nov 25, 2003 to Jun 10, 2004",Fall 2003,"Lantis, Kadokawa Shoten, Fuji TV","ADV Films, Funimation",Gonzo,Manga,23 min. per ep.,R - 17+ (violence & profanity),1120,742,198007,2064,8228,117484,9881,9842,52572,256,280,652,1919,5331,11012,23075,25109,16051,11469
61,D.N.Angel,7,7,D.N.Angel,Ｄ・Ｎ・ＡＮＧＥＬ,TV,26,"Apr 3, 2003 to Sep 25, 2003",Spring 2003,Kadokawa Shoten,"ADV Films, Discotek Media",Xebec,Manga,23 min. per ep.,PG-13 - Teens 13 or older,2761,891,167615,1523,5183,117045,7599,11057,26731,378,595,1092,3203,8167,15032,25101,19858,11105,7515
62,D.C.: Da Capo,6,4,D.C.~Da Capo~,D.C.～ダ・カーポ～,TV,26,"Jul 5, 2003 to Dec 27, 2003",Summer 2003,"Lantis, King Records",Unknown,"feel., Zexcs",Visual novel,24 min. per ep.,PG-13 - Teens 13 or older,4589,1852,67491,189,3024,36037,2840,3852,21738,242,376,645,1493,3340,5472,7807,5172,2446,1542
63,DearS,6,6,DearS,ディアーズ,TV,12,"Jul 11, 2004 to Sep 26, 2004",Summer 2004,"Bandai Visual, Hal Film Maker, Genco, Lantis","Discotek Media, Geneon Entertainment USA",Daume,Manga,23 min. per ep.,R+ - Mild Nudity,5274,1146,128788,391,3766,95113,3066,5507,21336,730,1029,1863,4070,8839,14791,19352,11499,5632,3464
64,Rozen Maiden,7,5,Rozen Maiden,ローゼンメイデン,TV,12,"Oct 8, 2004 to Dec 24, 2004",Fall 2004,"Mellow Head, Pony Canyon, TBS, Memory-Tech, Studio Jack","Sentai Filmworks, Geneon Entertainment USA",Nomad,Manga,24 min. per ep.,PG-13 - Teens 13 or older,1782,846,176775,2074,5599,113914,6040,7852,43370,292,387,737,2028,5531,11535,23961,23021,12729,7868
65,Rozen Maiden: Träumend,7,5,Rozen Maiden:Träumend,ローゼンメイデン トロイメント,TV,12,"Oct 21, 2005 to Jan 27, 2006",Fall 2005,"Mellow Head, TBS","Sentai Filmworks, Geneon Entertainment USA",Nomad,Manga,24 min. per ep.,PG-13 - Teens 13 or older,1146,1479,93768,516,2006,73523,2114,1647,14478,97,95,255,760,2345,5733,14172,15835,9205,5500
66,Azumanga Daioh,7,3,Azumanga Daioh:The Animation,あずまんが大王 THE ANIMATION,TV,26,"Apr 9, 2002 to Oct 1, 2002",Spring 2002,"Genco, Lantis, Imagica, TV Tokyo Music, Cosmic Ray, King Records","ADV Films, Sentai Filmworks",J.C.Staff,4-koma manga,24 min. per ep.,PG-13 - Teens 13 or older,555,554,262980,5181,13747,143431,16133,13115,76554,412,406,707,1797,5162,10326,25478,35693,27283,18422
67,Basilisk: Kouga Ninpou Chou,7,7,Basilisk,バジリスク 甲賀忍法帖,TV,24,"Apr 13, 2005 to Sep 21, 2005",Spring 2005,"GDH, Kodansha, Sotsu Music Publishing",Funimation,Gonzo,Manga,24 min. per ep.,R - 17+ (violence & profanity),1325,940,156661,1467,6964,82153,6380,6957,54207,244,316,643,1554,3800,7816,17421,19570,11140,6677
68,Black Cat (TV),7,5,Black Cat,ブラックキャット,TV,23,"Oct 7, 2005 to Mar 31, 2006",Fall 2005,"GDH, Dentsu, TBS, Sotsu Music Publishing",Funimation,Gonzo,Manga,24 min. per ep.,PG-13 - Teens 13 or older,1965,622,231668,1955,10510,142921,11736,11003,55498,234,395,863,2521,7534,16081,34019,29392,15253,8654
69,Cluster Edge,6,4,Unknown,CLUSTER EDGE（クラスターエッジ）,TV,25,"Oct 5, 2005 to Mar 29, 2006",Fall 2005,"Bandai Visual, Imagine",Sentai Filmworks,Sunrise,Original,24 min. per ep.,PG-13 - Teens 13 or older,6646,5061,9299,13,500,3068,629,942,4160,31,62,108,261,412,627,652,372,162,113
71,Full Metal Panic!,7,5,Full Metal Panic!,フルメタル・パニック！,TV,24,"Jan 8, 2002 to Jun 18, 2002",Winter 2002,Kadokawa Shoten,"ADV Films, Funimation",Gonzo,Light novel,24 min. per ep.,R - 17+ (violence & profanity),1146,322,411230,4417,17458,264665,16076,13806,99225,329,448,991,3035,9171,21492,56993,64969,36500,17675
72,Full Metal Panic? Fumoffu,8,3,Full Metal Panic? Fumoffu,フルメタル・パニック? ふもっふ,TV,12,"Aug 26, 2003 to Oct 18, 2003",Summer 2003,"Tatsunoko Production, Kadokawa Shoten, Fuji TV, Imagica, Rakuonsha, Kadokawa Pictures Japan, KlockWorx, Happinet Pictures, Animation Do","ADV Films, Funimation",Kyoto Animation,Light novel,24 min. per ep.,PG-13 - Teens 13 or older,452,571,254465,2988,5383,204041,4435,3533,37073,164,194,442,1332,4417,11085,30305,45884,37507,24023
73,Full Metal Panic! The Second Raid,7,3,Full Metal Panic! The Second Raid,フルメタル パニック！The Second Raid,TV,13,"Jul 14, 2005 to Oct 20, 2005",Summer 2005,"Kadokawa Shoten, Happinet Pictures","ADV Films, Funimation, Kadokawa Pictures USA",Kyoto Animation,Light novel,24 min. per ep.,R - 17+ (violence & profanity),579,639,227927,1358,4667,177524,3840,2271,39625,129,115,235,816,3127,9377,29917,45246,30146,14139
74,Gakuen Alice,7,4,Gakuen Alice,学園アリス,TV,26,"Oct 30, 2004 to May 14, 2005",Fall 2004,"Aniplex, Sogo Vision",Nozomi Entertainment,Group TAC,Manga,25 min. per ep.,G - All Ages,1158,1640,81446,1613,2495,57369,2843,2916,15823,104,115,214,618,2357,5331,11158,11074,7151,5560
75,Soukyuu no Fafner: Dead Aggressor,7,5,Fafner of the Blue Sky,蒼穹のファフナーDead Aggressor,TV,25,"Jul 5, 2004 to Dec 27, 2004",Summer 2004,"TV Tokyo Music, King Records","Funimation, Geneon Entertainment USA",Xebec,Original,24 min. per ep.,PG-13 - Teens 13 or older,2348,2523,40602,255,2179,16417,1849,1987,18170,71,94,184,424,955,1827,3838,3344,1667,926
76,Mahou Shoujo Lyrical Nanoha,7,5,Magical Girl Lyrical Nanoha,魔法少女リリカルなのは,TV,13,"Oct 3, 2004 to Dec 26, 2004",Fall 2004,"Starchild Records, Omnibus Japan",Geneon Entertainment USA,Seven Arcs,Original,25 min. per ep.,PG-13 - Teens 13 or older,1828,1550,88890,1036,3287,47731,2865,2625,32382,112,140,276,736,2363,4999,10737,9945,5032,3193
77,Mahou Shoujo Lyrical Nanoha A's,7,5,Magical Girl Lyrical Nanoha A's,魔法少女リリカルなのは エース,TV,13,"Oct 2, 2005 to Dec 25, 2005",Fall 2005,"Starchild Records, Omnibus Japan",Geneon Entertainment USA,Seven Arcs,Original,25 min. per ep.,PG-13 - Teens 13 or older,551,2075,56981,1014,1367,40165,1088,828,13533,71,53,83,250,864,2220,6267,9368,6809,4189
79,Shuffle!,7,9,Shuffle!,SHUFFLE! (シャッフル!),TV,24,"Jul 8, 2005 to Jan 6, 2006",Summer 2005,"Xebec, Lantis, Memory-Tech",Funimation,Asread,Visual novel,23 min. per ep.,R+ - Mild Nudity,3231,600,240751,1572,10943,151944,9558,13227,55079,1088,1323,2184,5019,10530,18951,32343,26443,14660,8852
80,Mobile Suit Gundam,7,5,Mobile Suit Gundam,機動戦士ガンダム,TV,43,"Apr 7, 1979 to Jan 26, 1980",Spring 1979,"Sotsu, Nagoya Broadcasting Network","Nozomi Entertainment, Bandai Entertainment",Sunrise,Original,25 min. per ep.,PG-13 - Teens 13 or older,867,1427,97216,1787,7737,52669,5473,3100,28237,104,59,179,505,1598,4169,11417,12922,7488,5395
81,Mobile Suit Gundam: The 08th MS Team,8,6,Mobile Suit Gundam:The 08th MS Team,機動戦士ガンダム 第08MS小隊,OVA,12,"Jan 25, 1996 to Jul 25, 1999",Unknown,Atelier Musa,Bandai Entertainment,Sunrise,Original,25 min. per ep.,PG-13 - Teens 13 or older,511,1948,62655,911,2405,43537,1437,794,14482,50,38,87,262,819,2121,6745,11589,8768,4241
82,Mobile Suit Gundam 0080: War in the Pocket,7,5,Mobile Suit Gundam 0080:War in the Pocket,機動戦士ガンダム 0080 ポケットの中の戦争,OVA,6,"Mar 25, 1989 to Aug 25, 1989",Unknown,Bandai Visual,"Nozomi Entertainment, Bandai Entertainment",Sunrise,Original,27 min. per ep.,PG-13 - Teens 13 or older,677,2444,43308,717,978,30112,595,392,11231,47,36,82,236,748,1817,5147,7398,5210,2957
83,Mobile Suit Gundam: The 08th MS Team - Miller's Report,6,5,Unknown,機動戦士ガンダム 第08MS小隊 ミラーズ・リポート,Movie,1,"Aug 1, 1998",Unknown,"Sotsu, Atelier Musa",Bandai Entertainment,Sunrise,Original,52 min.,PG-13 - Teens 13 or older,4498,4660,11460,3,149,8314,130,136,2731,22,30,73,193,630,1273,1788,1054,461,275
84,Mobile Suit Gundam 0083: Stardust Memory,7,7,Mobile Suit Gundam 0083:Stardust Memory,機動戦士ガンダム0083 STARDUST MEMORY,OVA,13,"May 23, 1991 to Sep 24, 1992",Unknown,Bandai Visual,"Nozomi Entertainment, Bandai Entertainment",Sunrise,Original,30 min. per ep.,PG-13 - Teens 13 or older,2361,2791,33687,230,977,24492,715,448,7055,41,58,180,497,1163,2544,5460,5380,2602,1167
85,Mobile Suit Zeta Gundam,7,6,Mobile Suit Zeta Gundam,機動戦士Ζガンダム,TV,50,"Mar 2, 1985 to Feb 22, 1986",Spring 1985,"Sotsu, Nagoya Broadcasting Network","Nozomi Entertainment, Bandai Entertainment",Sunrise,Original,24 min. per ep.,PG-13 - Teens 13 or older,655,2159,53822,1721,3912,32798,2628,1049,13435,97,65,152,392,896,2118,5578,7986,5901,4021
86,Mobile Suit Gundam ZZ,6,6,Mobile Suit Gundam ZZ,機動戦士ガンダムZZ,TV,47,"Mar 1, 1986 to Jan 31, 1987",Spring 1986,"Sotsu, Nagoya Broadcasting Network",Nozomi Entertainment,Sunrise,Original,24 min. per ep.,PG-13 - Teens 13 or older,5111,2941,30758,130,1647,18408,1354,917,8432,115,182,372,930,1601,2977,4440,2740,1062,622
87,Mobile Suit Gundam: Char's Counterattack,7,5,Mobile Suit Gundam:Char's Counterattack,機動戦士ガンダム 逆襲のシャア,Movie,1,"Mar 12, 1988",Unknown,"Sotsu, Nozomi Entertainment, Atelier Musa",Bandai Entertainment,"Sunrise, Studio Hibari",Novel,1 hr. 59 min.,PG-13 - Teens 13 or older,1084,2773,34221,293,437,25957,233,171,7423,54,69,147,376,824,1865,4692,5995,3571,2400
88,Mobile Suit Gundam F91,6,5,Mobile Suit Gundam F91,機動戦士ガンダムＦ91,Movie,1,"Mar 16, 1991",Unknown,"Sotsu, Shochiku, Atelier Musa, Nagoya Broadcasting Network","Nozomi Entertainment, Bandai Entertainment",Sunrise,Unknown,2 hr.,PG-13 - Teens 13 or older,5049,3387,23161,63,357,16731,207,193,5673,52,93,221,649,1462,2824,3834,2239,892,530
89,Mobile Suit Victory Gundam,6,5,Mobile Suit V Gundam,機動戦士Vガンダム,TV,51,"Apr 2, 1993 to Mar 25, 1994",Spring 1993,"TV Asahi, Sotsu, Apollon",Nozomi Entertainment,"Sunrise, Studio Deen",Original,24 min. per ep.,PG-13 - Teens 13 or older,4632,3588,20794,95,1225,10068,1094,628,7779,89,90,240,487,796,1406,2272,1589,735,430
90,Mobile Suit Gundam Wing,7,6,Mobile Suit Gundam Wing,新機動戦記ガンダムW,TV,49,"Apr 7, 1995 to Mar 29, 1996",Spring 1995,TV Asahi,Bandai Entertainment,Sunrise,Original,24 min. per ep.,PG-13 - Teens 13 or older,984,1118,132208,2538,5922,95155,5945,4411,20775,175,210,518,1507,3460,7559,18315,21396,13704,9965
